! elementShape quadrilateral 
! elementNumPoints 4 
273 240
0 0 0
0.01 0 0
0.02 0 0
0.03 0 0
0.04 0 0
0.05 0 0
0.06 0 0
0.07 0 0
0.08 0 0
0.09 0 0
0.1 0 0
0.11 0 0
0.12 0 0
0.13 0 0
0.14 0 0
0.15 0 0
0.16 0 0
0.17 0 0
0.18 0 0
0.19 0 0
0.2 0 0
0 0.01 0
0.01 0.01 0
0.02 0.01 0
0.03 0.01 0
0.04 0.01 0
0.05 0.01 0
0.06 0.01 0
0.07 0.01 0
0.08 0.01 0
0.09 0.01 0
0.1 0.01 0
0.11 0.01 0
0.12 0.01 0
0.13 0.01 0
0.14 0.01 0
0.15 0.01 0
0.16 0.01 0
0.17 0.01 0
0.18 0.01 0
0.19 0.01 0
0.2 0.01 0
0 0.02 0
0.01 0.02 0
0.02 0.02 0
0.03 0.02 0
0.04 0.02 0
0.05 0.02 0
0.06 0.02 0
0.07 0.02 0
0.08 0.02 0
0.09 0.02 0
0.1 0.02 0
0.11 0.02 0
0.12 0.02 0
0.13 0.02 0
0.14 0.02 0
0.15 0.02 0
0.16 0.02 0
0.17 0.02 0
0.18 0.02 0
0.19 0.02 0
0.2 0.02 0
0 0.03 0
0.01 0.03 0
0.02 0.03 0
0.03 0.03 0
0.04 0.03 0
0.05 0.03 0
0.06 0.03 0
0.07 0.03 0
0.08 0.03 0
0.09 0.03 0
0.1 0.03 0
0.11 0.03 0
0.12 0.03 0
0.13 0.03 0
0.14 0.03 0
0.15 0.03 0
0.16 0.03 0
0.17 0.03 0
0.18 0.03 0
0.19 0.03 0
0.2 0.03 0
0 0.04 0
0.01 0.04 0
0.02 0.04 0
0.03 0.04 0
0.04 0.04 0
0.05 0.04 0
0.06 0.04 0
0.07 0.04 0
0.08 0.04 0
0.09 0.04 0
0.1 0.04 0
0.11 0.04 0
0.12 0.04 0
0.13 0.04 0
0.14 0.04 0
0.15 0.04 0
0.16 0.04 0
0.17 0.04 0
0.18 0.04 0
0.19 0.04 0
0.2 0.04 0
0 0.05 0
0.01 0.05 0
0.02 0.05 0
0.03 0.05 0
0.04 0.05 0
0.05 0.05 0
0.06 0.05 0
0.07 0.05 0
0.08 0.05 0
0.09 0.05 0
0.1 0.05 0
0.11 0.05 0
0.12 0.05 0
0.13 0.05 0
0.14 0.05 0
0.15 0.05 0
0.16 0.05 0
0.17 0.05 0
0.18 0.05 0
0.19 0.05 0
0.2 0.05 0
0 0.06 0
0.01 0.06 0
0.02 0.06 0
0.03 0.06 0
0.04 0.06 0
0.05 0.06 0
0.06 0.06 0
0.07 0.06 0
0.08 0.06 0
0.09 0.06 0
0.1 0.06 0
0.11 0.06 0
0.12 0.06 0
0.13 0.06 0
0.14 0.06 0
0.15 0.06 0
0.16 0.06 0
0.17 0.06 0
0.18 0.06 0
0.19 0.06 0
0.2 0.06 0
0 0.07 0
0.01 0.07 0
0.02 0.07 0
0.03 0.07 0
0.04 0.07 0
0.05 0.07 0
0.06 0.07 0
0.07 0.07 0
0.08 0.07 0
0.09 0.07 0
0.1 0.07 0
0.11 0.07 0
0.12 0.07 0
0.13 0.07 0
0.14 0.07 0
0.15 0.07 0
0.16 0.07 0
0.17 0.07 0
0.18 0.07 0
0.19 0.07 0
0.2 0.07 0
0 0.08 0
0.01 0.08 0
0.02 0.08 0
0.03 0.08 0
0.04 0.08 0
0.05 0.08 0
0.06 0.08 0
0.07 0.08 0
0.08 0.08 0
0.09 0.08 0
0.1 0.08 0
0.11 0.08 0
0.12 0.08 0
0.13 0.08 0
0.14 0.08 0
0.15 0.08 0
0.16 0.08 0
0.17 0.08 0
0.18 0.08 0
0.19 0.08 0
0.2 0.08 0
0 0.09 0
0.01 0.09 0
0.02 0.09 0
0.03 0.09 0
0.04 0.09 0
0.05 0.09 0
0.06 0.09 0
0.07 0.09 0
0.08 0.09 0
0.09 0.09 0
0.1 0.09 0
0.11 0.09 0
0.12 0.09 0
0.13 0.09 0
0.14 0.09 0
0.15 0.09 0
0.16 0.09 0
0.17 0.09 0
0.18 0.09 0
0.19 0.09 0
0.2 0.09 0
0 0.1 0
0.01 0.1 0
0.02 0.1 0
0.03 0.1 0
0.04 0.1 0
0.05 0.1 0
0.06 0.1 0
0.07 0.1 0
0.08 0.1 0
0.09 0.1 0
0.1 0.1 0
0.11 0.1 0
0.12 0.1 0
0.13 0.1 0
0.14 0.1 0
0.15 0.1 0
0.16 0.1 0
0.17 0.1 0
0.18 0.1 0
0.19 0.1 0
0.2 0.1 0
0 0.11 0
0.01 0.11 0
0.02 0.11 0
0.03 0.11 0
0.04 0.11 0
0.05 0.11 0
0.06 0.11 0
0.07 0.11 0
0.08 0.11 0
0.09 0.11 0
0.1 0.11 0
0.11 0.11 0
0.12 0.11 0
0.13 0.11 0
0.14 0.11 0
0.15 0.11 0
0.16 0.11 0
0.17 0.11 0
0.18 0.11 0
0.19 0.11 0
0.2 0.11 0
0 0.12 0
0.01 0.12 0
0.02 0.12 0
0.03 0.12 0
0.04 0.12 0
0.05 0.12 0
0.06 0.12 0
0.07 0.12 0
0.08 0.12 0
0.09 0.12 0
0.1 0.12 0
0.11 0.12 0
0.12 0.12 0
0.13 0.12 0
0.14 0.12 0
0.15 0.12 0
0.16 0.12 0
0.17 0.12 0
0.18 0.12 0
0.19 0.12 0
0.2 0.12 0
0 1 22 21
1 2 23 22
2 3 24 23
3 4 25 24
4 5 26 25
5 6 27 26
6 7 28 27
7 8 29 28
8 9 30 29
9 10 31 30
10 11 32 31
11 12 33 32
12 13 34 33
13 14 35 34
14 15 36 35
15 16 37 36
16 17 38 37
17 18 39 38
18 19 40 39
19 20 41 40
21 22 43 42
22 23 44 43
23 24 45 44
24 25 46 45
25 26 47 46
26 27 48 47
27 28 49 48
28 29 50 49
29 30 51 50
30 31 52 51
31 32 53 52
32 33 54 53
33 34 55 54
34 35 56 55
35 36 57 56
36 37 58 57
37 38 59 58
38 39 60 59
39 40 61 60
40 41 62 61
42 43 64 63
43 44 65 64
44 45 66 65
45 46 67 66
46 47 68 67
47 48 69 68
48 49 70 69
49 50 71 70
50 51 72 71
51 52 73 72
52 53 74 73
53 54 75 74
54 55 76 75
55 56 77 76
56 57 78 77
57 58 79 78
58 59 80 79
59 60 81 80
60 61 82 81
61 62 83 82
63 64 85 84
64 65 86 85
65 66 87 86
66 67 88 87
67 68 89 88
68 69 90 89
69 70 91 90
70 71 92 91
71 72 93 92
72 73 94 93
73 74 95 94
74 75 96 95
75 76 97 96
76 77 98 97
77 78 99 98
78 79 100 99
79 80 101 100
80 81 102 101
81 82 103 102
82 83 104 103
84 85 106 105
85 86 107 106
86 87 108 107
87 88 109 108
88 89 110 109
89 90 111 110
90 91 112 111
91 92 113 112
92 93 114 113
93 94 115 114
94 95 116 115
95 96 117 116
96 97 118 117
97 98 119 118
98 99 120 119
99 100 121 120
100 101 122 121
101 102 123 122
102 103 124 123
103 104 125 124
105 106 127 126
106 107 128 127
107 108 129 128
108 109 130 129
109 110 131 130
110 111 132 131
111 112 133 132
112 113 134 133
113 114 135 134
114 115 136 135
115 116 137 136
116 117 138 137
117 118 139 138
118 119 140 139
119 120 141 140
120 121 142 141
121 122 143 142
122 123 144 143
123 124 145 144
124 125 146 145
126 127 148 147
127 128 149 148
128 129 150 149
129 130 151 150
130 131 152 151
131 132 153 152
132 133 154 153
133 134 155 154
134 135 156 155
135 136 157 156
136 137 158 157
137 138 159 158
138 139 160 159
139 140 161 160
140 141 162 161
141 142 163 162
142 143 164 163
143 144 165 164
144 145 166 165
145 146 167 166
147 148 169 168
148 149 170 169
149 150 171 170
