396	250
0	5.773502691896257	0
1	5.196152422706632	0
2	4.618802153517006	0
3	4.04145188432738	0
4	3.464101615137754	0
5	2.886751345948129	0
6	2.309401076758503	0
7	1.732050807568877	0
8	1.154700538379251	0
9	0.5773502691896257	0
10	0	0
0	6.773502691896257	0
1	6.196152422706632	0
2	5.618802153517006	0
3	5.04145188432738	0
4	4.464101615137754	0
5	3.886751345948129	0
6	3.309401076758503	0
7	2.732050807568877	0
8	2.154700538379251	0
9	1.577350269189626	0
10	1	0
0	7.773502691896257	0
1	7.196152422706632	0
2	6.618802153517006	0
3	6.04145188432738	0
4	5.464101615137754	0
5	4.886751345948129	0
6	4.309401076758503	0
7	3.732050807568877	0
8	3.154700538379251	0
9	2.577350269189626	0
10	2	0
0	8.773502691896258	0
1	8.196152422706632	0
2	7.618802153517006	0
3	7.04145188432738	0
4	6.464101615137754	0
5	5.886751345948129	0
6	5.309401076758503	0
7	4.732050807568877	0
8	4.154700538379251	0
9	3.577350269189626	0
10	3	0
0	9.773502691896258	0
1	9.196152422706632	0
2	8.618802153517006	0
3	8.04145188432738	0
4	7.464101615137754	0
5	6.886751345948129	0
6	6.309401076758503	0
7	5.732050807568877	0
8	5.154700538379251	0
9	4.577350269189626	0
10	4	0
0	10.77350269189626	0
1	10.19615242270663	0
2	9.618802153517006	0
3	9.04145188432738	0
4	8.464101615137753	0
5	7.886751345948129	0
6	7.309401076758503	0
7	6.732050807568877	0
8	6.154700538379251	0
9	5.577350269189626	0
10	5	0
0	5.773502691896257	1
1	5.196152422706632	1
2	4.618802153517006	1
3	4.04145188432738	1
4	3.464101615137754	1
5	2.886751345948129	1
6	2.309401076758503	1
7	1.732050807568877	1
8	1.154700538379251	1
9	0.5773502691896257	1
10	0	1
0	6.773502691896257	1
1	6.196152422706632	1
2	5.618802153517006	1
3	5.04145188432738	1
4	4.464101615137754	1
5	3.886751345948129	1
6	3.309401076758503	1
7	2.732050807568877	1
8	2.154700538379251	1
9	1.577350269189626	1
10	1	1
0	7.773502691896257	1
1	7.196152422706632	1
2	6.618802153517006	1
3	6.04145188432738	1
4	5.464101615137754	1
5	4.886751345948129	1
6	4.309401076758503	1
7	3.732050807568877	1
8	3.154700538379251	1
9	2.577350269189626	1
10	2	1
0	8.773502691896258	1
1	8.196152422706632	1
