35301	32000
0	0	0
0.456	0	0
0	0.456	0
0.456	0.456	0
0	0	0.228
0.456	0	0.228
0.456	0.456	0.228
0	0.456	0.228
0.0114	0	0
0.0228	0	0
0.0342	0	0
0.0456	0	0
0.057	0	0
0.0684	0	0
0.0798	0	0
0.0912	0	0
0.1026	0	0
0.114	0	0
0.1254	0	0
0.1368	0	0
0.1482	0	0
0.1596	0	0
0.171	0	0
0.1824	0	0
0.1938	0	0
0.2052	0	0
0.2166	0	0
0.228	0	0
0.2394	0	0
0.2508	0	0
0.2622	0	0
0.2736	0	0
0.285	0	0
0.2964	0	0
0.3078	0	0
0.3192	0	0
0.3306	0	0
0.342	0	0
0.3534	0	0
0.3648	0	0
0.3762	0	0
0.3876	0	0
0.399	0	0
0.4104	0	0
0.4218	0	0
0.4332	0	0
0.4446	0	0
0.0114	0.456	0
0.0228	0.456	0
0.0342	0.456	0
0.0456	0.456	0
0.057	0.456	0
0.0684	0.456	0
0.0798	0.456	0
0.0912	0.456	0
0.1026	0.456	0
0.114	0.456	0
0.1254	0.456	0
0.1368	0.456	0
0.1482	0.456	0
0.1596	0.456	0
0.171	0.456	0
0.1824	0.456	0
0.1938	0.456	0
0.2052	0.456	0
0.2166	0.456	0
0.228	0.456	0
0.2394	0.456	0
0.2508	0.456	0
0.2622	0.456	0
0.2736	0.456	0
0.285	0.456	0
0.2964	0.456	0
0.3078	0.456	0
0.3192	0.456	0
0.3306	0.456	0
0.342	0.456	0
0.3534	0.456	0
0.3648	0.456	0
0.3762	0.456	0
0.3876	0.456	0
0.399	0.456	0
0.4104	0.456	0
0.4218	0.456	0
0.4332	0.456	0
0.4446	0.456	0
0	0.0114	0
0	0.0228	0
0	0.0342	0
0	0.0456	0
0	0.057	0
0	0.0684	0
0	0.0798	0
0	0.0912	0
0	0.1026	0
0	0.114	0
0	0.1254	0
0	0.1368	0
0	0.1482	0
0	0.1596	0
0	0.171	0
0	0.1824	0
0	0.1938	0
0	0.2052	0
0	0.2166	0
0	0.228	0
0	0.2394	0
0	0.2508	0
0	0.2622	0
0	0.2736	0
0	0.285	0
0	0.2964	0
0	0.3078	0
0	0.3192	0
0	0.3306	0
0	0.342	0
0	0.3534	0
0	0.3648	0
0	0.3762	0
0	0.3876	0
0	0.399	0
0	0.4104	0
0	0.4218	0
0	0.4332	0
0	0.4446	0
0.456	0.0114	0
